//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236467.21997070 548264.02999878 33.38999939 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619046 43.000000 1.000000
236467.40997314 548263.75999832 33.49000168 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619049 60.000000 1.000000
236467.59997559 548263.50999832 33.65000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619052 15.000000 1.000000
236467.79998779 548263.24000168 33.79999924 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619054 15.000000 1.000000
236467.98999023 548262.95999908 33.91999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619056 127.000000 1.000000
236468.20001221 548262.68000031 34.08000183 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619059 51.000000 1.000000
236468.39001465 548262.41999817 34.22000122 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619062 57.000000 1.000000
236468.59997559 548262.13000107 34.38999939 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619065 38.000000 1.000000
236468.78997803 548261.86999893 34.56000137 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619067 66.000000 1.000000
236468.98999023 548261.61000061 34.72999954 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619069 38.000000 1.000000
236469.16998291 548261.36000061 34.90000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.619072 102.000000 1.000000
236461.09997559 548270.75000000 16.92000008 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.624900 196.000000 1.000000
236461.44000244 548270.45999908 18.95999908 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.624903 111.000000 1.000000
236461.48999023 548270.16000366 16.68000031 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.624906 101.000000 1.000000
236461.67999268 548269.87999725 16.64999962 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.624908 92.000000 1.000000
236462.90997314 548269.61000061 32.20000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624911 128.000000 1.000000
236461.90002441 548269.58000183 16.73999977 168.000000 2.000000 0.000000 2.000000 2.000000 234371016.624911 27.000000 1.000000
236463.09002686 548269.34999847 32.20000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624913 29.000000 1.000000
236463.27001953 548269.08000183 32.22999954 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624916 28.000000 1.000000
236463.45001221 548268.81999969 32.20000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624918 40.000000 1.000000
236463.65997314 548268.52999878 32.22000122 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624921 41.000000 1.000000
236463.84997559 548268.25000000 32.25999832 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624924 37.000000 1.000000
236464.03997803 548267.98000336 32.27000046 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624926 20.000000 1.000000
236464.23999023 548267.69999695 32.29999924 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624929 25.000000 1.000000
236464.41998291 548267.43000031 32.31000137 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624932 33.000000 1.000000
